Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9636,0.0046,0.8099,0.0111,0.7761,0.0148,0.8872,0.0098
0.1,0.6145,0.0111,0.8049,0.0165,-1,-1,0.555,0.0279
0.2,0.6202,0.0151,0.808,0.0129,-1,-1,0.5798,0.0329
0.3,0.6141,0.0126,0.8096,0.0127,-1,-1,0.6101,0.027
0.4,0.6197,0.0114,0.8064,0.0133,-1,-1,0.625,0.0381
0.5,0.6203,0.0146,0.8057,0.0155,-1,-1,0.6191,0.0496
0.6,0.6168,0.0171,0.8075,0.0134,-1,-1,0.6373,0.0363
0.7,0.6201,0.0162,0.8073,0.0112,-1,-1,0.6624,0.0298
0.8,0.618,0.0145,0.8115,0.0117,-1,-1,0.658,0.0342
0.9,0.6202,0.0163,0.8095,0.0086,-1,-1,0.6724,0.0289
1.0,0.6216,0.0128,0.8131,0.0108,-1,-1,0.6813,0.0191
2.0,0.6236,0.0215,0.8164,0.0068,-1,-1,0.7471,0.0172
3.0,0.6194,0.0157,0.8118,0.0083,-1,-1,0.7934,0.011
4.0,0.6428,0.0211,0.8179,0.0114,-1,-1,0.8202,0.0091
5.0,0.6744,0.0196,0.8196,0.0076,-1,-1,0.8337,0.01
6.0,0.7203,0.0139,0.8171,0.0064,-1,-1,0.842,0.0117
7.0,0.8044,0.0056,0.817,0.0087,-1,-1,0.8502,0.0121
8.0,0.8751,0.0103,0.8163,0.0061,-1,-1,0.8558,0.0121
9.0,0.9097,0.0095,0.8202,0.0092,-1,-1,0.8611,0.0105
10.0,0.9273,0.0064,0.8157,0.0077,-1,-1,0.8642,0.0105
