Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9903,0.0029,0.7804,0.0149,0.5,0.0,0.5,0.0
0.1,0.5302,0.0033,0.7506,0.0225,-1,-1,0.5,0.0
0.2,0.5393,0.0105,0.756,0.0183,-1,-1,0.5,0.0
0.3,0.5315,0.0095,0.761,0.0178,-1,-1,0.5,0.0
0.4,0.5403,0.0045,0.7651,0.0204,-1,-1,0.5,0.0
0.5,0.5403,0.0117,0.7688,0.0221,-1,-1,0.5,0.0
0.6,0.5405,0.0102,0.7701,0.0195,-1,-1,0.5,0.0
0.7,0.5437,0.0089,0.7757,0.0231,-1,-1,0.5,0.0
0.8,0.5434,0.014,0.7759,0.0224,-1,-1,0.5,0.0
0.9,0.5463,0.0069,0.7758,0.0223,-1,-1,0.5,0.0
1.0,0.5513,0.0128,0.7772,0.0224,-1,-1,0.5,0.0
2.0,0.5888,0.021,0.7802,0.0207,-1,-1,0.5,0.0
3.0,0.6571,0.03,0.7851,0.0188,-1,-1,0.5,0.0
4.0,0.7566,0.0306,0.7801,0.0192,-1,-1,0.5,0.0
5.0,0.8577,0.0181,0.7818,0.0194,-1,-1,0.5,0.0
6.0,0.9285,0.0062,0.7843,0.019,-1,-1,0.5,0.0
7.0,0.9543,0.0069,0.7836,0.0216,-1,-1,0.5,0.0
8.0,0.9733,0.003,0.7832,0.0203,-1,-1,0.5,0.0
9.0,0.9777,0.0032,0.7838,0.0224,-1,-1,0.5,0.0
10.0,0.9817,0.0028,0.7812,0.022,-1,-1,0.5,0.0
